,page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
Thedu,63533598,Q101244965,Thedu,,,,,,,,,,
Then Came You (2020 film),57863660,Q55621346,Then Came You (2020 film),,,,,,,,,,
There Are No False Undertakings,66476605,Q105359923,There Are No False Undertakings,,,,,,,,,,
There Is No Evil,63110725,Q84321441,There Is No Evil,2020-02-28T00:00:00Z,,151,Persian,"Iran, Czech Republic, Germany","['drama', 'anthology']","['8.3/10', '98%', '82/100']",['Golden Bear'],[''],
"There's No Place Like This Place, Anyplace",64507546,Q97166808,"There's No Place Like This Place, Anyplace",,,,,,,,,,
There's No Such Thing as Vampires,66430023,Q105227763,There's No Such Thing as Vampires,2020-01-01T00:00:00Z,,,,United States of America,[''],"['75%', '5.7/10']",[''],[''],
They Live Inside Us,61965427,Q66764388,They Live Inside Us,,,,,,,,,,
They're Outside,66538594,Q105474458,They're Outside,,,,,,,,,,
The Thing About Harry,63118824,Q84015660,The Thing About Harry,,,,,,,,,,
Things We Dig,71860943,Q120178746,Things We Dig,,,,,,,,,,
Think Like a Dog,61436706,Q83950626,Think Like a Dog,2020-01-01T00:00:00Z,,91,English,United States of America,"['family', 'comedy']","['6.1/10', '70%']",[''],[''],
Thiruvalar Panjangam,69531720,Q110223610,Thiruvalar Panjangam,,,,,,,,,,
This Is Paris,65400551,Q101245194,This Is Paris,,,,,,,,,,
This Is the Year,66021615,Q104878799,This Is the Year,2020-08-28T00:00:00Z,,97,English,United States of America,"['comedy', 'drama']",[''],[''],[''],
This Lady Called Life,66156289,Q104835734,This Lady Called Life,2020-10-09T00:00:00Z,,120,English,Nigeria,"['romance', 'drama']",[''],[''],[''],
This Rain Will Never Stop,70155415,Q107031748,This Rain Will Never Stop,2020-11-23T00:00:00Z,,104,"German, Russian, Ukrainian, Arabic, Kurdish","Qatar, Ukraine, Latvia, Germany",['documentary'],[''],[''],[''],
Thou Shalt Not Hate,76612631,Q97579521,Thou Shalt Not Hate,,,,,,,,,,
A Thousand Cuts (2020 film),64254559,Q96371338,A Thousand Cuts (2020 film),,,,,,,,,,
Three (2020 film),70644200,Q111739143,Three (2020 film),,,,,,,,,,
The Three Deaths of Marisela Escobedo,65512028,Q101765864,The Three Deaths of Marisela Escobedo,2020-01-01T00:00:00Z,,109,Spanish,Mexico,"['crime', 'documentary']",[''],[''],[''],
Three Sisters (2020 film),69352196,Q104899860,Three Sisters,2021-01-27T00:00:00Z,,115,Korean,South Korea,['drama'],[''],[''],[''],
The Three (film),70045507,Q107012708,The Three,2020-12-03T00:00:00Z,,,Russian,Russia,[''],[''],[''],[''],
Through the Glass Darkly,47537252,Q109534943,Through the Glass Darkly,,,,,,,,,,
Through the Night (2020 film),67633636,Q106968378,Through the Night (2020 film),,,,,,,,,,
A Thursday,70045852,Q110942315,A Thursday,2022-02-17T00:00:00Z,,128,"English, Hindi",India,"['thriller', 'crime']",[''],[''],[''],
The Ties,64635300,Q97666963,The Ties,2020-09-02T00:00:00Z,,100,Italian,Italy,['drama'],[''],[''],[''],
Tiger Within,77025026,Q126142267,Tiger Within,,,,,,,,,,
Tigers (2020 film),66127737,Q101799929,Tigers,2021-08-27T00:00:00Z,,116,"English, Italian, Swedish","Italy, Denmark, Sweden","['drama', 'biographical', 'sport']",['63%'],[''],"['Guldbagge Award for Best Actor in a Leading Role', 'Guldbagge Award for Best Cinematography', 'Guldbagge Award for Best Actress in a Supporting Role', 'Guldbagge Award for Best Director', 'Dragon Awards', 'International Submission to the Academy Awards']",
Tigertail (film),58250086,Q56281252,Tigertail,2020-04-10T00:00:00Z,,91,"English, Standard Taiwanese Mandarin",United States of America,['drama'],"['7/10', '81%']",[''],[''],
Tijuana Jackson: Purpose Over Prison,76397611,Q124995470,Tijuana Jackson: Purpose Over Prison,2020-07-10T00:00:00Z,,,English,United States of America,['comedy'],[''],[''],[''],
Tiki-Taka (film),65287485,Q102046244,Tiki-Taka,2020-09-11T00:00:00Z,,,Bangla,India,[],[''],[''],[''],
'Til Kingdom Come (film),70612895,Q111950464,'Til Kingdom Come (film),,,,,,,,,,
Time (2020 film),64175045,Q96409889,Time,2020-01-01T00:00:00Z,,,,United States of America,['documentary'],"['98%', '8.5/10']",['Sundance U.S. Directing Award: Documentary'],[''],
Time and Silence,76081992,Q123553231,Time and Silence,2020-01-01T00:00:00Z,,,Spanish,Peru,['drama'],[''],[''],[''],
The Time of Indifference,72553972,Q106465053,The Time of Indifference,2020-01-01T00:00:00Z,,81,Italian,"France, Italy",[''],[''],[''],[''],
Time to Hunt (film),63460571,Q81222925,Time to Hunt,2020-02-22T00:00:00Z,,134,Korean,South Korea,['thriller'],"['6.7/10', '65%']",[''],[''],
Timmy Failure: Mistakes Were Made,57967629,Q55762028,Timmy Failure: Mistakes Were Made,2020-01-01T00:00:00Z,,99,"English, Spanish",United States of America,"['comedy', 'fantasy']","['7/10', '84%']",[''],[''],
Tin Can (film),69021222,Q109284841,Tin Can,2020-01-01T00:00:00Z,,104,English,Canada,['horror'],[''],[''],[''],
Tiny Tim: King for a Day,73799302,Q101481196,Tiny Tim: King for a Day,2020-01-01T00:00:00Z,,,,,[''],"['7.1/10', '85%']",[''],[''],
Tiong Bahru Social Club,66064558,Q104879970,Tiong Bahru Social Club,2020-12-10T00:00:00Z,,,,Singapore,[],[''],[''],[''],
TiTi,69159485,Q109332409,TiTi,2020-01-01T00:00:00Z,,,,Iran,[''],[''],[''],[''],
To All the Boys: P.S. I Still Love You,60411747,Q62761144,To All the Boys: P.S. I Still Love You,2020-02-12T00:00:00Z,,81,English,United States of America,"['romantic comedy', 'teen']","['76%', '6.7/10']",[''],[''],
To Freddy,74990630,Q122956445,To Freddy,,,,,,,,,,
The Toll (2020 film),66691650,Q105657233,The Toll (2020 film),,,,,,,,,,
Tolo Tolo,62729556,Q68929187,Tolo Tolo,2020-01-01T00:00:00Z,,90,Italian,Italy,['comedy'],[''],[''],[''],
Tom of Your Life,72352938,Q115522919,Tom of Your Life,2020-03-06T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
Tonkatsu DJ Agetarō,49648902,Q21019252,Tonkatsu DJ Agetarō,,,,,,,,,,
Tooman,69157165,Q85969140,Tooman,2020-02-01T00:00:00Z,,130,Persian,Iran,['drama'],[''],['Crystal Simorgh for Best Cinematography'],[''],
Topside (film),69377046,Q110064380,Topside (film),,,,,,,,,,
Torbaaz,51663985,Q48671148,Torbaaz,2020-12-11T00:00:00Z,,,Hindi,India,['drama'],[''],[''],[''],
Totally Under Control,65480099,Q100975860,Totally Under Control,,,,,,,,,,
Tove (film),64320811,Q96628864,Tove,2020-10-02T00:00:00Z,,103,Swedish,"Finland, Sweden",['biographical'],['90%'],[''],['International Submission to the Academy Awards'],
Tragic Jungle,67901286,Q107095586,Tragic Jungle,2021-06-09T00:00:00Z,,96,"Spanish, English, Yucatec Maya",Mexico,"['drama', 'thriller']","['6.5/10', '73%']",[''],[''],
Trance (2020 film),56647637,Q55636105,Trance,2019-01-01T00:00:00Z,,,Malayalam,India,['drama'],[''],[''],[''],
Transference: A Bipolar Love Story,70923272,Q112609749,Transference: A Bipolar Love Story,,,,,,,,,,
Transhood,65735175,Q101245424,Transhood,2020-05-28T00:00:00Z,,96,English,United States of America,"['LGBT-related', 'documentary']","['86%', '7.9/10']",[''],[''],
Translator (film),72953272,Q108806807,The Translator,2020-09-10T00:00:00Z,,105,"English, Arabic","France, Switzerland","['drama', 'thriller']",[''],[''],[''],
TransMilitary,67497268,Q106778664,TransMilitary,,,,,,,,,,
Tremors: Shrieker Island,62486665,Q83726487,Tremors: Shrieker Island,2020-01-01T00:00:00Z,,103,English,United States of America,"['documentary', 'action thriller']","['5.1/10', '44%']",[''],[''],
The Trial of the Chicago 7,58909381,Q72397975,The Trial of the Chicago 7,2020-09-25T00:00:00Z,,129,English,United States of America,"['historical', 'legal drama', 'historical drama']","['7.7/10', '76/100', '89%']",[''],['Academy Award for Best Picture'],
Triggered (film),66062083,Q104879922,Triggered (film),,,,,,,,,,
The Trip to Greece,64015216,Q100567171,The Trip to Greece,,,,,,,,,,
Trolls World Tour,53659543,Q29825830,Trolls World Tour,2020-03-20T00:00:00Z,,94,English,United States of America,"['comedy', 'adventure', 'musical', 'animated', 'family']","['6.2/10', '72%']",[''],[''],
The Trouble with Being Born (film),63916809,Q84401074,The Trouble with Being Born,2020-02-01T00:00:00Z,,94,German,"Austria, Germany",['drama'],"['6.9/10', '92%']",['Austrian Film Award for Best Feature Film'],[''],
True Mothers,64179635,Q96410966,True Mothers,2020-01-01T00:00:00Z,,140,Japanese,Japan,"['drama', 'mystery']","['6.9/10', '91%']",[''],['International Submission to the Academy Awards'],
True North (2020 film),69389165,Q97478919,True North (2020 film),,,,,,,,,,
The Truffle Hunters,64175674,Q96409669,The Truffle Hunters,2020-01-01T00:00:00Z,,,,,['documentary'],"['8.2/10', '97%']",[''],[''],
Trump Card (2020 film),64533667,Q97332682,Trump Card (2020 film),,,,,,,,,,
Trump vs the Illuminati,73924161,Q118903315,Trump vs the Illuminati,2020-10-06T00:00:00Z,,,,,[''],[''],[''],[''],
Tsoi (film),70710801,Q85857870,Tsoi,2020-01-01T00:00:00Z,26236961,98,,"Latvia, Russia","['drama', 'road movie', 'biographical']",[''],[''],[''],150000000
Tsunami (2020 film),62205896,Q85810912,Tsunami,2020-01-01T00:00:00Z,,,,Sri Lanka,[''],[''],[''],[''],
Tumi O Tumi,62704702,Q85811049,Tumi O Tumi,2020-01-01T00:00:00Z,,,Bangla,India,['drama'],[''],[''],[''],
The Turning (2020 film),56700354,Q52151357,The Turning,http://www.wikidata.org/.well-known/genid/27c0836b04cd831ac2452286d8ae4984,,,English,United States of America,['ghost'],"['3.7/10', '13%']",[''],[''],
Twittering Birds Never Fly – The Clouds Gather,60597912,Q63567845,Twittering Birds Never Fly – The Clouds Gather,,,,,,,,,,
Two Distant Strangers,67141803,Q105989074,Two Distant Strangers,,,,,,,,,,
Ultraman Taiga The Movie,62588285,Q85811811,Ultraman Taiga The Movie,,,,,,,,,,
Ultras (film),63426583,Q86672960,Ultras,2020-01-01T00:00:00Z,,108,Italian,Italy,['drama'],"['5.8/10', '60%']",[''],[''],
Uma Maheswara Ugra Roopasya,64363327,Q97355400,Uma Maheswara Ugra Roopasya,,,,,,,,,,
Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,65826967,Q98708760,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,,,,,,,,,,
Uncle Frank (film),62935104,Q78224387,Uncle Frank,2020-01-25T00:00:00Z,,95,English,United States of America,"['road movie', 'comedy drama', 'LGBT-related']","['6.9/10', '77%', '58/100']",[''],[''],
Uncle Peckerhead,67820396,Q107260878,Uncle Peckerhead,,,,,,,,,,
Uncle Tom (film),64675334,Q97933278,Uncle Tom,2020-06-19T00:00:00Z,,,English,United States of America,"['documentary', 'political']",[''],[''],[''],
Uncorked (2020 film),59483535,Q60737909,Uncorked,2020-01-01T00:00:00Z,,104,English,United States of America,['drama'],"['6.5/10', '91%', '62/100']",[''],[''],
Under My Skin (2020 film),72279363,Q102128141,Under My Skin,2020-10-29T00:00:00Z,,97,English,"Australia, United States of America","['LGBT-related', 'drama']",[''],[''],[''],
Under the Amalfi Sun,72440136,Q113555378,Under the Amalfi Sun,2022-07-13T00:00:00Z,,95,Italian,Italy,['romantic comedy'],[''],[''],[''],
Under the Open Sky,67633247,Q106969761,Under the Open Sky,2021-02-11T00:00:00Z,,126,Japanese,Japan,['drama'],[''],[''],[''],
Under the Riccione Sun,64430860,Q96778948,Under the Riccione Sun,2020-01-01T00:00:00Z,,,Italian,Italy,['romantic comedy'],[''],[''],[''],
Under the Weather (2020 film),72337860,Q115802959,Under the Weather,2020-01-01T00:00:00Z,,,,Canada,[''],[''],[''],[''],
Underground (2020 film),65827188,Q106472965,Underground,2020-12-05T00:00:00Z,,97,French,Canada,['drama'],['6.8/10'],['Best Director'],"['Canadian Screen Awards for Best Motion Picture', 'Canadian Screen Awards for Achievement in Direction', 'Canadian Screen Awards for Original Screenplay', 'Canadian Screen Awards for Best Performance by an Actor in a Leading Role']",
Underplayed,65342870,Q101245166,Underplayed,,,,,,,,,,
Underwater (film),53279790,Q33105130,Underwater,2020-01-09T00:00:00Z,40882928,93,English,United States of America,"['drama', 'horror', 'adventure', 'action thriller']","['5.3/10', '47%', '48/100']",[''],[''],65000000
Undine (2020 film),62970741,Q66442210,Undine,2020-02-23T00:00:00Z,,90,German,"France, Germany",['drama'],"['7.3/10', '75/100', '89%']",['European Film Award for Best Actress'],"['European Film Award for Best Film', 'European Film Award for Best Actress']",
Unearth (film),67576139,Q100353973,Unearth (film),,,,,,,,,,
The Unhealer,70647170,Q110465375,The Unhealer,,,,,,,,,,
Unhinged (2020 film),62858789,Q85811980,Unhinged,2020-01-01T00:00:00Z,44300000,90,English,United States of America,['thriller'],"['48%', '5.3/10', '40/100']",[''],[''],33000000
Unidentified (2020 film),72602483,Q104898675,Unidentified (2020 film),,,,,,,,,,
Unknown Origins,65131901,Q98730356,Unknown Origins,2020-08-28T00:00:00Z,,100,Spanish,Spain,['comedy'],[''],[''],[''],
Unlocked (2020 film),63088673,Q85847907,Unlocked (2020 film),,,,,,,,,,
Unmarried (TV series),71384091,Q113480376,Unmarried (TV series),,,,,,,,,,
Unoponchash Batash,63362191,Q87763001,Unoponchash Batash,2020-01-01T00:00:00Z,,,Bangla,Bangladesh,['romance'],[''],[''],[''],
Unpaused,66154843,Q104835790,Unpaused,2020-12-18T00:00:00Z,,,Hindi,India,[''],[''],[''],[''],
Unpregnant,62079016,Q73536578,Unpregnant,2020-01-01T00:00:00Z,,,English,United States of America,"['road movie', 'comedy drama', 'drama']","['6.8/10', '91%']",[''],[''],
Unroyal,68886814,Q108933782,Unroyal,2020-03-20T00:00:00Z,,96,English,Nigeria,"['comedy', 'romance']",[''],['Best of Nollywood Awards'],[''],
Unsubscribe (film),64587745,Q97798884,Unsubscribe,2020-01-01T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
Untitled Pizza Movie,68154417,Q107583915,Untitled Pizza Movie,,,,,,,,,,
The Untold Tale of the Three Kingdoms,67575452,Q95572774,The Untold Tale of the Three Kingdoms,2020-01-01T00:00:00Z,,,Japanese,Japan,['Three Kingdoms'],[''],[''],[''],
Upheaval: The Journey of Menachem Begin,75068667,Q123191871,Upheaval: The Journey of Menachem Begin,,,,,,,,,,
Uppercase Print,75483314,Q85006282,Uppercase Print,2020-01-01T00:00:00Z,,128,Romanian,Romania,['biographical'],['83%'],[''],[''],
Upside-Down Magic (film),61573827,Q88799614,Upside-Down Magic (film),,,,,,,,,,
Uriyadi (2020 film),61799250,Q85812460,Uriyadi,2020-01-01T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
Us Kids,66277129,Q104903059,Us Kids,,,,,,,,,,
Useless Humans,65447714,Q101245227,Useless Humans,,,,,,,,,,
Utraan,63547563,Q96413152,Utraan,,,,,,,,,,
V (2020 film),60613303,Q65065964,V,2020-01-01T00:00:00Z,,,Telugu,India,['action thriller'],[''],[''],[''],
Vaanam Kottattum,61628991,Q85847920,Vaanam Kottattum,2020-01-01T00:00:00Z,,,Tamil,India,['drama'],[''],[''],[''],
Vacarme,67260487,Q106492821,Vacarme,2020-11-10T00:00:00Z,,77,Quebec French,Canada,[],[''],[''],[''],
Valayam (film),75739165,Q124306659,Valayam (film),,,,,,,,,,
Valley Girl (2020 film),59983182,Q65032715,Valley Girl,2020-01-01T00:00:00Z,,,English,United States of America,['musical'],"['5.9/10', '59%']",[''],[''],
Valley of the Dead (film),68920123,Q107194983,Valley of the Dead,2021-09-24T00:00:00Z,,102,Spanish,Spain,['thriller'],[''],[''],[''],
Vampires vs. the Bronx,58145784,Q56086947,Vampires vs. the Bronx,2020-10-02T00:00:00Z,,85,English,United States of America,"['vampire', 'horror']","['6.9/10', '90%', '76/100']",[''],[''],
Vampria: The Toothless Vampire,73265095,Q117305695,Vampria: The Toothless Vampire,2020-09-17T00:00:00Z,,19,English,New Zealand,[''],[''],[''],[''],
Vanguard (film),62808632,Q83539511,Vanguard,2020-01-01T00:00:00Z,,,,People's Republic of China,['action'],"['4.4/10', '28%']",[''],[''],
The Vanished (2020 film),65597675,Q98545416,The Vanished,2020-01-01T00:00:00Z,,115,English,United States of America,"['thriller', 'psychological']","['4.4/10', '21%', '6.0/100']",[''],[''],
The Vanishing Hitchhiker (film),69928382,Q110803005,The Vanishing Hitchhiker (film),,,,,,,,,,
Varane Avashyamund,62712057,Q97258346,Varane Avashyamund,2020-01-01T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
Varmaa,60018451,Q101244947,Varmaa,,,,,,,,,,
Veins of the World,66390908,Q85945940,Veins of the World,2020-02-23T00:00:00Z,,96,Mongolian,"Mongolia, Germany",['drama'],[''],['German Film Prize/Best Children’s Film'],['International Submission to the Academy Awards'],
"Veinteañera, divorciada y fantástica",62082903,Q85812878,Veinteañera: Divorciada y fantástica,2020-01-01T00:00:00Z,,93,Spanish,Mexico,['comedy'],[''],[''],[''],
Velvet Nagaram,59449597,Q60737835,Velvet Nagaram,2020-01-01T00:00:00Z,,,Tamil,India,[],[''],[''],[''],
La Verónica,74471655,Q113653333,La Verónica,2020-01-01T00:00:00Z,,100,,Chile,['drama'],[''],[''],[''],
The Very Excellent Mr. Dundee,63244709,Q86756922,The Very Excellent Mr. Dundee,2020-07-17T00:00:00Z,,,,Australia,['comedy drama'],"['14%', '3.9/10']",[''],[''],
Vicious Fun,68155385,Q107484172,Vicious Fun,2020-10-08T00:00:00Z,,101,English,Canada,"['comedy', 'horror']","['87%', '7/10']",[''],[''],
Victor Robot,70221402,Q28704137,Victor Robot,,,,,,,,,,
Viddana,67026644,Q66777527,Viddana,2020-01-16T00:00:00Z,,110,Ukrainian,Ukraine,['Jidaigeki'],[''],[''],[''],
Viena and the Fantomes,59005681,Q60737612,Viena and the Fantomes,2020-01-01T00:00:00Z,,,English,United States of America,"['musical', 'romance']","['4/10', '20%']",[''],[''],
Vijeta (2020 film),63353305,Q96414009,Vijeta (2020 film),,,,,,,,,,
Vikaari,65638868,Q101245339,Vikaari,,,,,,,,,,
Vikun Taak,62683266,Q85813166,Vikun Taak,2020-02-14T00:00:00Z,,,Marathi,India,"['slapstick', 'comedy drama']",[''],[''],[''],
Villain (2020 film),65590523,Q104863931,Villain,2020-02-28T00:00:00Z,,97,English,United Kingdom,[''],"['6.2/10', '71%']",[''],[''],
The Vinland Club,65826885,Q102036295,The Vinland Club,,,,,,,,,,
Violation (film),66282942,Q104245564,Violation (film),,,,,,,,,,
The Violent Heart,60010245,Q61851090,The Violent Heart,2020-01-01T00:00:00Z,,,English,United States of America,['drama'],"['5.6/10', '56%', '50/100']",[''],[''],
Violet Evergarden: The Movie,69004292,Q106434135,Violet Evergarden: The Movie,,,,,,,,,,
Virgin Bhanupriya,63369787,Q92845657,Virgin Bhanupriya,2020-01-01T00:00:00Z,,111,Hindi,India,['comedy'],[''],[''],[''],
Vitamin She (2020 film),72452810,Q115857792,Vitamin She (2020 film),,,,,,,,,,
Vivos (film),66277589,Q104903066,Vivos (film),,,,,,,,,,
Voice of Silence (2020 film),61440629,Q66220160,Voice of Silence,2020-10-15T00:00:00Z,,99,Korean,South Korea,[''],"['100%', '7.1/10']",[''],[''],
Voiceless (2020 film),71380030,Q113468650,Voiceless (2020 film),,,,,,,,,,
Wade (film),67137313,Q106311394,Wade (film),,,,,,,,,,
The Waiting (film),64884020,Q104848378,The Waiting,2020-01-01T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
Waiting for Anya (film),64791619,Q63983611,Waiting for Anya,2020-01-01T00:00:00Z,,,"French, German, English",United Kingdom,['drama'],"['38%', '5/10']",[''],[''],
Wake Show,78352682,Q131173852,Wake Show,,,,,,,,,,
Walchensee Forever,72285197,Q84116433,Walchensee Forever,2020-02-24T00:00:00Z,,110,German,Germany,['documentary'],[''],['Bavarian Film Awards'],['German Film Award for Best Documentary Film'],
Walkaway Joe (film),65365947,Q89798187,Walkaway Joe,2020-05-08T00:00:00Z,,,,United States of America,"['sport', 'drama', 'action']","['4/10', '40%']",[''],[''],
Walnut Tree (2020 film),68472106,Q85302462,Walnut Tree (2020 film),,,,,,,,,,
The Walrus and the Whistleblower,64256612,Q96409698,The Walrus and the Whistleblower,2020-01-01T00:00:00Z,,89,English,Canada,[''],[''],[''],[''],
Walter (2020 film),59520692,Q60738078,Walter,2020-01-01T00:00:00Z,,,Tamil,India,['action'],[''],[''],[''],
